Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP,ENCUESTAS_ASIGNADAS
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,118,2233,2221,39715.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,381,1091,1088,39907.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,41,1847,1841,39550.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,134,4372,4350,39885.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,31,3801,3783,39460.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,366,580,579,39665.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,236,710,708,39610.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,110,4352,4319,39407.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,59,756,751,,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,49,1279,1275,39422.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,32,977,975,39460.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,204,1921,1912,39699.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,137,1056,1053,39665.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,146,1797,1794,39759.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2807,2327,2314,39810.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,264,1616,1606,39562.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,117,3614,3589,39700.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,301,10828,10758,39521.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,316,815,808,39910.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,383,1217,1212,,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,229,774,773,39610.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,348,285,284,39931.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,131,1492,1483,39700.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,312,1783,1778,39907.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,362,2233,2213,39904.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,265,1981,1977,39799.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,142,1285,1273,39700.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,130,1777,1766,39700.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,180,3674,3648,40010.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,118,2233,2221,39721.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,92,696,692,39480.0,10
Distrito 9,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,120,1510,1504,39640.0,10
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,27,1780,1777,39530.0,10
Distrito 8,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,7,1173,1165,39422.0,10
Distrito 6,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,184,1275,1268,39715.0,10
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,170,1333,1326,39700.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,372,1887,1875,39414.0,10
Distrito 7,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,377,1836,1829,39931.0,10
Distrito 3,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,79,616,614,,10
