Distrito,CABECERA DEL DISTRITO,MUNICIPIOS,SECCIÓN,TOTAL PADRÓN,TOTAL LISTA NOMINAL,CP
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,91,775,772,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,93,746,742,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,93,746,742,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,93,746,742,39370
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,99,720,718,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,99,720,718,39370
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,75,721,717,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,75,721,717,39360
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,64,708,704,39590
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,92,696,692,39480
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,92,696,692,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,87,657,654,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,14,648,645,39422
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,94,624,623,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,83,612,608,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,85,601,594,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,65,543,542,39590
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,67,460,460,39580
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,82,449,447,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,98,416,415,39300
Distrito 4,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,88,405,404,39300
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,347,9723,9655,39904
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,347,9723,9655,39901
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,347,9723,9655,39991
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,347,9723,9655,39909
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,347,9723,9655,39931
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,122,3632,3611,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,122,3632,3611,39640
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,143,3040,3026,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,143,3040,3026,39759
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,111,2952,2937,39700
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,111,2952,2937,39640
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,192,2276,2268,39510
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,192,2276,2268,39530
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,165,2163,2155,39720
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,334,2125,2109,39500
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,334,2125,2109,39911
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,344,2118,2107,39901
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,344,2118,2107,39911
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2800,2115,2103,39730
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2800,2115,2103,39759
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,343,2091,2077,39901
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,343,2091,2077,39911
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2801,2012,1996,39740
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2801,2012,1996,39759
Distrito 5,ACAPULCO DE JUÁREZ,ACAPULCO DE JUÁREZ,2801,2012,1996,39700
